date,IFB,ifb.r
6/23/2014,737.6,-0.984830894
6/24/2014,731.6,-0.816775573
6/25/2014,729.6,-0.273747776
6/28/2014,716.6,-1.797863389
6/29/2014,697.5,-2.701529118
6/30/2014,691.2,-0.907329621
7/1/2014,705.6,2.06192872
7/2/2014,725.8,2.822599009
7/5/2014,750.2,3.306534287
7/6/2014,751.8,0.213049348
7/7/2014,746.3,-0.734266699
7/8/2014,772.6,3.463378609
7/9/2014,782.5,1.273247218
7/12/2014,790,0.953902305
7/13/2014,775.2,-1.891188488
7/14/2014,784.1,1.141550266
7/15/2014,782.7,-0.178708243
7/16/2014,796.3,1.722651845
7/20/2014,800.6,0.53854473
7/21/2014,802.7,0.261959858
7/22/2014,806.4,0.459885218
7/23/2014,796.1,-1.285509122
7/26/2014,793.5,-0.327126613
7/27/2014,796.9,0.427566044
7/28/2014,796.6,-0.037652966
8/2/2014,794.3,-0.289144711
8/3/2014,791.3,-0.378406102
8/4/2014,792.7,0.176767723
8/5/2014,791.1,-0.202045782
8/6/2014,790.9,-0.02528445
8/9/2014,791.3,0.050562509
8/10/2014,788.8,-0.316435933
8/11/2014,792.3,0.442730468
8/12/2014,791.9,-0.050498675
8/13/2014,793.1,0.151419587
8/16/2014,794.8,0.214119359
8/17/2014,800.6,0.727093588
8/18/2014,805,0.548083086
8/19/2014,807.4,0.2976931
8/20/2014,806.6,-0.099132598
8/23/2014,805.1,-0.186138913
8/24/2014,805.3,0.02483855
8/25/2014,807.7,0.297582365
8/26/2014,811,0.407735167
8/27/2014,812.6,0.197092944
8/30/2014,810.1,-0.308128672
8/31/2014,808.8,-0.160602913
9/1/2014,805.9,-0.359200238
9/2/2014,811.3,0.667823407
9/3/2014,810.6,-0.086318521
9/6/2014,809.6,-0.123441566
9/7/2014,807.2,-0.296882949
9/8/2014,812.2,0.617514621
9/9/2014,813,0.09844943
9/10/2014,817.9,0.600897019
9/13/2014,813.9,-0.490257141
9/14/2014,809,-0.603859127
9/15/2014,809.8,0.098838654
9/16/2014,809.6,-0.024700506
9/17/2014,808.6,-0.123594133
9/20/2014,806.3,-0.284847552
9/21/2014,809.8,0.433142191
9/22/2014,816,0.762705137
9/23/2014,820.1,0.501192908
9/24/2014,822.2,0.255739042
9/27/2014,821.7,-0.060830953
9/28/2014,827.5,0.703374231
9/29/2014,827.4,-0.012085322
9/30/2014,828.5,0.132858284
10/1/2014,826.1,-0.29010053
10/4/2014,825.8,-0.036321812
10/6/2014,825.7,-0.012110203
10/7/2014,827.5,0.217759583
10/8/2014,827.7,0.024166264
10/11/2014,829.5,0.217233974
10/12/2014,832.4,0.348998489
10/14/2014,831.5,-0.108179589
10/15/2014,828.8,-0.325242713
10/18/2014,826.7,-0.253699925
10/19/2014,828.7,0.24163356
10/20/2014,844.4,1.876810812
10/21/2014,846.4,0.236574513
10/22/2014,842.6,-0.449971156
10/25/2014,842,-0.07123353
10/26/2014,844.8,0.331989871
10/27/2014,847.8,0.354484597
10/28/2014,847.9,0.011794539
10/29/2014,851,0.364942426
11/1/2014,857.6,0.772566174
11/2/2014,860.4,0.325960708
11/5/2014,865.5,0.590997722
11/8/2014,863.4,-0.242929149
11/9/2014,864.8,0.16201832
11/10/2014,865.1,0.034684086
11/11/2014,865.3,0.023116043
11/12/2014,866.2,0.103956117
11/15/2014,852.5,-1.594261962
11/16/2014,853.3,0.093797638
11/17/2014,850.3,-0.352195715
11/18/2014,846.8,-0.412468913
11/19/2014,845.5,-0.153637092
11/22/2014,840.8,-0.557434878
11/23/2014,844.8,0.474609339
11/24/2014,856.4,1.363764376
11/25/2014,836.2,-2.386973779
11/26/2014,834.8,-0.167564372
11/29/2014,829.7,-0.612798553
11/30/2014,812.3,-2.119445961
12/1/2014,813.3,0.123031512
12/2/2014,818.6,0.649551889
12/3/2014,815.4,-0.391677367
12/6/2014,812.6,-0.343980683
12/7/2014,802.1,-1.300569518
12/8/2014,813.8,1.448134719
12/9/2014,813.8,0
12/10/2014,808.4,-0.665765004
12/14/2014,797.4,-1.370055058
12/15/2014,787.2,-1.287408921
12/16/2014,793.1,0.746697135
12/17/2014,792.5,-0.075681134
12/20/2014,797.7,0.654008117
12/22/2014,808.8,1.381908079
12/24/2014,808.7,-0.01236476
12/27/2014,801.9,-0.844410829
12/28/2014,802.4,0.062332483
12/29/2014,794.9,-0.939091607
12/30/2014,782.8,-1.533908506
12/31/2014,775.7,-0.911138803
1/3/2015,774.1,-0.206478329
1/4/2015,774.5,0.051659565
1/5/2015,771.4,-0.401061408
1/6/2015,760.3,-1.449395354
1/7/2015,756.2,-0.540720078
1/10/2015,739.1,-2.287266167
1/11/2015,729.1,-1.362233298
1/12/2015,745.8,2.264657093
1/13/2015,741.2,-0.618697333
1/14/2015,738.1,-0.419117764
1/17/2015,753.9,2.118041644
1/18/2015,747.1,-0.906068824
1/19/2015,729.2,-2.425100218
1/20/2015,723.6,-0.770928928
1/21/2015,709.1,-2.024219321
1/24/2015,703,-0.86396685
1/25/2015,712.6,1.356336136
1/26/2015,708.8,-0.534685388
1/27/2015,711.2,0.338028491
1/28/2015,722.8,1.617887452
1/31/2015,737,1.945533347
2/1/2015,738.4,0.1897791
2/2/2015,735.9,-0.339144326
2/3/2015,737.7,0.244299796
2/4/2015,747.5,1.319706737
2/7/2015,746.8,-0.09368936
2/8/2015,746.2,-0.080375088
2/9/2015,736.3,-1.335601641
2/10/2015,738.3,0.271260169
2/14/2015,742,0.49989971
2/15/2015,740,-0.269905697
2/16/2015,742.5,0.337268448
2/17/2015,737.3,-0.702800568
2/18/2015,734.9,-0.326042946
2/21/2015,733,-0.258873365
2/22/2015,726.7,-0.863196426
2/23/2015,719.2,-1.037425447
2/24/2015,716.8,-0.33426215
2/25/2015,716.6,-0.027905679
2/28/2015,715,-0.223526218
3/1/2015,715.5,0.06990563
3/2/2015,719.6,0.571390308
3/3/2015,719.1,-0.069507197
3/4/2015,721,0.263870718
3/7/2015,719.5,-0.208261096
3/8/2015,717.3,-0.30623632
3/9/2015,717.9,0.083612045
3/10/2015,714,-0.544732124
3/11/2015,718.5,0.628274318
3/14/2015,723.1,0.638181966
3/15/2015,720.9,-0.304709377
3/16/2015,720.5,-0.055501597
3/17/2015,658.4,-4.23
3/18/2015,668.3,1.492452515
3/25/2015,680.4,1.7943686
3/28/2015,698.1,2.568149845
3/29/2015,726.5,3.987612403
3/30/2015,720.1,-0.884839176
3/31/2015,720.8,0.097161504
4/4/2015,766,6.082046345
4/5/2015,797.7,4.055041718
4/6/2015,784.4,-1.681349259
4/7/2015,771,-1.723072076
4/8/2015,773.5,0.323729645
4/11/2015,763.9,-1.248877947
4/12/2015,750.4,-1.783049286
4/13/2015,747.8,-0.347083515
4/14/2015,756.7,1.183131116
4/15/2015,759.1,0.316664732
4/18/2015,752.9,-0.820110417
4/19/2015,757.2,0.569500248
4/20/2015,750,-0.95542128
4/21/2015,750.5,0.066644454
4/22/2015,749.8,-0.093314677
4/25/2015,752.5,0.359449232
4/26/2015,747.7,-0.639916862
4/27/2015,742,-0.765258484
4/28/2015,737.8,-0.5676458
4/29/2015,740.8,0.405789817
5/3/2015,738.3,-0.338043727
5/4/2015,727.1,-1.528622641
5/5/2015,723.3,-0.52399458
5/6/2015,725.7,0.331263243
5/9/2015,720,-0.788549427
5/10/2015,710.6,-1.314152842
5/11/2015,719.4,1.230784767
5/12/2015,729.7,1.421595951
5/13/2015,738.5,1.19876112
5/17/2015,726.6,-1.624498218
5/18/2015,726.7,0.013761784
5/19/2015,727.2,0.068780524
5/20/2015,727,-0.027506533
5/23/2015,716.8,-1.412961587
5/24/2015,712.1,-0.657851067
5/25/2015,717.8,0.797262773
5/26/2015,714.4,-0.474794915
5/27/2015,714.8,0.055975372
5/30/2015,714.9,0.013988949
5/31/2015,711.2,-0.518898857
6/1/2015,710.4,-0.112549252
6/2/2015,710.4,0
6/6/2015,708.8,-0.225479239
6/7/2015,702.7,-0.864334109
6/8/2015,698,-0.671095544
6/9/2015,691.2,-0.978988527
6/10/2015,691.5,0.043393361
6/13/2015,697.9,0.921267492
6/14/2015,693,-0.704582683
6/15/2015,687.8,-0.753190119
6/16/2015,691,0.464172577
6/17/2015,700.1,1.308335822
6/20/2015,702.6,0.356455785
6/21/2015,703.1,0.071138937
6/22/2015,723.6,2.873962432
6/23/2015,734.1,1.44065056
6/24/2015,734.8,0.095309422
6/27/2015,735.1,0.040819104
6/28/2015,724.3,-1.480087318
6/29/2015,721.7,-0.359613112
6/30/2015,732.6,1.499031027
7/1/2015,736.2,0.49019706
7/4/2015,756.6,2.733289125
7/5/2015,759.1,0.329880882
7/6/2015,769.3,1.334748944
7/7/2015,788.7,2.490500994
7/11/2015,793.6,0.619353557
7/12/2015,800.4,0.853204674
7/13/2015,822.3,2.699368927
7/14/2015,819.3,-0.365497483
7/15/2015,811.1,-1.005896607
7/20/2015,800.4,-1.327974837
7/21/2015,805.5,0.635159991
7/22/2015,803.2,-0.285945368
7/25/2015,791.9,-1.416862772
7/26/2015,787.4,-0.569874271
7/27/2015,782.2,-0.662591619
7/28/2015,778.6,-0.461302715
7/29/2015,784.4,0.742165915
8/1/2015,781.5,-0.370394446
8/2/2015,778.3,-0.41030959
8/3/2015,778.5,0.025693731
8/4/2015,775.8,-0.347423627
8/5/2015,777.5,0.218888905
8/8/2015,772.3,-0.671056848
8/9/2015,772.7,0.051779936
8/10/2015,774.1,0.181018927
8/12/2015,782.1,1.02815454
8/15/2015,773.6,-1.092766547
8/16/2015,773.1,-0.064653781
8/17/2015,757.8,-1.998890774
8/18/2015,755.2,-0.343688375
8/19/2015,749.7,-0.730948832
8/22/2015,742.1,-1.018912153
8/23/2015,735.7,-0.866157804
8/24/2015,735.9,0.027181299
8/25/2015,726.8,-1.244290341
8/26/2015,728.4,0.219901133
8/29/2015,738.1,1.322896892
8/30/2015,734.6,-0.475318339
8/31/2015,730.3,-0.587072476
9/1/2015,730.6,0.041070574
9/2/2015,732.7,0.28702268
9/5/2015,738.4,0.774934202
9/6/2015,731.5,-0.938846273
9/7/2015,723.6,-1.085846694
9/8/2015,726,0.33112613
9/9/2015,722.8,-0.441745611
9/12/2015,718.9,-0.541029273
9/13/2015,706,-1.81070285
9/14/2015,696.2,-1.397826212
9/15/2015,688.9,-1.054085278
9/16/2015,680.6,-1.212136053
9/19/2015,684.3,0.542165589
9/20/2015,682.2,-0.307354797
9/21/2015,672.1,-1.491573101
9/22/2015,681.4,1.374236625
9/23/2015,683.2,0.263813725
9/26/2015,678.4,-0.7050558
9/27/2015,681.1,0.397205377
9/28/2015,686.5,0.789708696
9/29/2015,682.8,-0.540423429
9/30/2015,677.9,-0.720220648
10/3/2015,664.2,-2.041647549
10/4/2015,659.5,-0.710133679
10/5/2015,658.8,-0.106197385
10/6/2015,663.7,0.741024185
10/7/2015,673.1,1.406366686
10/10/2015,679.8,0.990473025
10/11/2015,680.4,0.088222326
10/12/2015,678,-0.353357258
10/13/2015,686.6,1.260459308
10/14/2015,701,2.075600601
10/17/2015,721.3,2.854725248
10/18/2015,726.6,0.732098028
10/19/2015,713.2,-1.86142338
10/20/2015,706.7,-0.915563829
10/21/2015,701.6,-0.724280664
10/25/2015,700.4,-0.171184065
10/26/2015,700.3,-0.014278575
10/27/2015,701.4,0.156952304
10/28/2015,697.2,-0.600602406
10/31/2015,696.9,-0.04303852
11/1/2015,698.8,0.272264982
11/2/2015,697.3,-0.214884403
11/3/2015,700.8,0.50068054
11/4/2015,704.3,0.498186213
11/7/2015,701.5,-0.398350221
11/8/2015,700.1,-0.199771756
11/9/2015,702.9,0.39914522
11/10/2015,710.6,1.089504941
11/11/2015,706.5,-0.578648146
11/14/2015,703.6,-0.411318926
11/15/2015,707.2,0.510349846
11/16/2015,705.3,-0.269026711
11/17/2015,701.6,-0.525980316
11/18/2015,702.2,0.085482268
11/21/2015,701.5,-0.099736419
11/22/2015,700.8,-0.099835992
11/23/2015,695.5,-0.759152826
11/24/2015,690.3,-0.750472565
11/25/2015,692.5,0.318195235
11/28/2015,687.9,-0.666475953
11/29/2015,685.5,-0.349497953
11/30/2015,690.3,0.697778671
12/1/2015,689.7,-0.086956527
12/5/2015,691.8,0.304017607
12/6/2015,687.4,-0.638053209
12/7/2015,678.7,-1.273716071
12/8/2015,680.2,0.220766886
12/9/2015,682.7,0.366865185
12/13/2015,678.9,-0.558168312
12/14/2015,681.4,0.367566392
12/15/2015,689.5,1.181719201
12/16/2015,685.4,-0.596408779
12/19/2015,676.8,-1.262680115
12/20/2015,671,-0.860667132
12/21/2015,674.8,0.56472137
12/22/2015,676.3,0.222041391
12/23/2015,676.1,-0.029577048
12/26/2015,677,0.133027882
12/27/2015,679.3,0.339158328
12/28/2015,680.5,0.176496589
12/30/2015,685.2,0.688294436
1/2/2016,683.4,-0.263042677
1/3/2016,681.5,-0.278408854
1/4/2016,687,0.803804109
1/5/2016,693.4,0.927274103
1/6/2016,702,1.232637077
1/9/2016,702,0
1/10/2016,701,-0.142551699
1/11/2016,704.9,0.554806175
1/12/2016,701.8,-0.440748563
1/13/2016,711.2,1.330522105
1/16/2016,731.3,2.787008808
1/17/2016,723.1,-1.12762471
1/18/2016,711.3,-1.645324344
1/19/2016,722.4,1.548472036
1/20/2016,719.1,-0.457857199
1/23/2016,727.6,1.175101654
1/24/2016,733.2,0.766706932
1/25/2016,743.2,1.354667153
1/26/2016,761.6,2.445629598
1/27/2016,756.5,-0.671895025
1/30/2016,760.5,0.527357847
1/31/2016,757.7,-0.368858276
2/1/2016,778.6,2.720990624
2/2/2016,787.1,1.085786997
2/3/2016,792.1,0.633234132
2/6/2016,802,1.24209614
2/7/2016,805.1,0.385788544
2/8/2016,815.3,1.258965036
2/9/2016,828.5,1.60606932
2/10/2016,816.3,-1.483490241
2/13/2016,806.7,-1.183008251
2/14/2016,799.4,-0.909040567
2/15/2016,810.6,1.391326792
2/16/2016,810,-0.074046653
2/17/2016,819.4,1.153811745
2/20/2016,818.4,-0.122115048
2/21/2016,818.7,0.036650174
2/22/2016,827.2,1.032878737
2/23/2016,828.5,0.157033311
2/24/2016,830.8,0.277225514
2/27/2016,839.9,1.089374513
2/28/2016,840,0.011905471
2/29/2016,831.1,-1.065176728
3/1/2016,828.1,-0.361620452
3/2/2016,822.1,-0.727187788
3/5/2016,830.9,1.064740851
3/6/2016,827.1,-0.458384397
3/7/2016,820.9,-0.752430734
3/8/2016,823.4,0.304080998
3/9/2016,811.1,-1.505075826
3/12/2016,810.3,-0.098680161
3/14/2016,801.6,-1.079481914
3/15/2016,804.2,0.323826413
3/16/2016,805.6,0.173934694
3/26/2016,822.9,2.124734521
3/27/2016,823.7,0.097169934
3/28/2016,820.5,-0.389247542
3/29/2016,806.5,-1.721001296
3/30/2016,814.2,0.95021385
4/2/2016,809.5,-0.578926295
4/3/2016,797.3,-1.518575361
4/4/2016,800.5,0.400551293
4/5/2016,808.6,1.006782477
4/6/2016,807,-0.198068894
4/9/2016,811.6,0.568393968
4/10/2016,805.2,-0.791691419
4/11/2016,802.9,-0.286052057
4/12/2016,804.1,0.149346636
4/13/2016,791.2,-1.617285925
4/16/2016,769.1,-2.832978025
4/17/2016,758.5,-1.387820127
4/18/2016,774.4,2.074573717
4/19/2016,779.6,0.669243167
4/20/2016,792.9,1.691614264
4/23/2016,794.6,0.21417331
4/24/2016,795.4,0.100628939
4/25/2016,801.8,0.801406743
4/26/2016,800.9,-0.112310488
4/27/2016,802.2,0.162185801
